DiaInicio;MesInicio;AnoInicio;DiaFinal;MesFinal;AnoFinal;Pesado;Medio;Leve;Hidraulica;Termica;CARGA;EARM;ENA
08;03;8;14;03;8;127.15;125.78;124.86;3810.71;872.71;7684.71;51.99;78.57
15;03;8;21;03;8;168.71;167.6;167.6;3408.86;918.29;7196.14;56.76;79.86
22;03;8;28;03;8;80.48;80.48;80.48;3580.71;662.57;7267;61.71;82.14
29;03;8;04;04;8;85.8;85.23;85.23;3784.86;526.29;7290;67.64;111.14
05;04;8;11;04;8;113.25;113.25;113.25;5366.86;250.14;7338.57;74;179.71
12;04;8;18;04;8;70.01;68.18;68.18;4207;354;7485;77.24;150.14
19;04;8;25;04;8;48.74;48.24;48.24;3714.29;422.14;7531.57;79.64;131.29
26;04;8;02;05;8;42.11;41.33;41.33;3810.57;418.71;7540.29;81.54;119
03;05;8;09;05;8;29.66;29.32;29.32;4115.57;340;7639.57;82.51;109.43
10;05;8;16;05;8;15.47;15.47;15.47;3889.86;481.57;7388.86;82.77;101.14
17;05;8;23;05;8;34.77;34.29;34.29;4143.57;445.57;7428.86;82.6;92.14
24;05;8;30;05;8;51.62;51.11;51.11;4097.14;420.43;7504.57;82.31;85
31;05;8;06;06;8;72.61;71.85;71.85;4089.57;474.14;7367.29;81.97;79.43
07;06;8;13;06;8;77.02;76.16;76.03;4352.86;495.57;7378.14;81.46;76.57
14;06;8;20;06;8;71.74;70.51;69.88;4317.57;365.43;7248.43;80.4;73.29
21;06;8;27;06;8;77.73;76.72;76.72;4146.57;538.71;6910.29;79.5;70.71
28;06;8;04;07;8;89.07;88.11;88.11;4413.86;344.86;7147;78.43;73.43
05;07;8;11;07;8;91.79;91.32;91.32;4417.57;170.71;7182.57;77.53;75.71
12;07;8;18;07;8;103.31;102.58;102.53;4150.43;181.29;7085.43;76.57;74.43
19;07;8;25;07;8;111.69;110.23;110.12;4362.86;193.14;7132.57;75.34;73
26;07;8;01;08;8;147.75;146.66;145.35;4915.57;188.71;7179.14;73.79;71.86
02;08;8;08;08;8;140.43;138.64;138.25;5290.57;157.29;7269.29;72.23;72.14
09;08;8;15;08;8;121.54;117.87;117.49;6016.29;180;7395.29;70.14;72.71
16;08;8;22;08;8;81.49;80.13;77.05;6025.86;173.43;7461.29;67.71;72.71
23;08;8;29;08;8;74.06;72.65;69.38;5984.57;179.86;7432.43;65.66;70.71
06;09;8;12;09;8;108.86;105.83;105.62;5820.71;155.43;7596.29;61.23;67.71
13;09;8;19;09;8;122.48;119.06;118.04;5721.57;166.14;7687.86;59.23;68
20;09;8;26;09;8;126.19;121.19;120.97;5503;188;7739.14;57.01;67
27;09;8;03;10;8;101.8;100.39;100.23;5645;90;7756.29;55.11;65.14
04;10;8;10;10;8;98.98;98.1;97.53;6024.57;222.86;7653.86;54.36;68.14
11;10;8;17;10;8;76.91;75.98;74.28;6628.71;205.14;7729.71;50.13;71
18;10;8;24;10;8;94.07;93.23;93.2;6684;217.86;7856.57;47.6;68.43
25;10;8;31;10;8;100.76;99.75;98.71;7079.43;218.29;7940.43;44.93;64.86
01;11;8;07;11;8;105.42;105.39;103.73;7126.57;211.71;8019.29;42.06;28.43
08;11;8;14;11;8;120.15;120.12;115.28;6862.57;191.57;7919;39.59;25.71
15;11;8;21;11;8;113.85;113.75;109.17;6090;242;7805.86;37.8;27.86
22;11;8;28;11;8;93.74;93.6;91.04;5885.43;273.43;7751;36.49;36.71
29;11;8;05;12;8;97.08;95.35;95.35;5885.86;258.57;7706.86;36.44;58.14
06;12;8;12;12;8;103.56;103.56;103.42;4703.29;249.43;7495.29;36.67;63.86
13;12;8;19;12;8;113.15;113.15;113.15;5515.57;239.43;7496.86;36.74;62.57
20;12;8;26;12;8;91.74;91.74;91.34;5119.14;256.57;6991.57;39.39;63.43
27;12;8;31;12;8;74.16;74.1;74.1;3401.86;190.57;5042.71;43.38;65.8
03;01;9;09;01;9;26.95;26.95;25.86;4649;228.43;7366.57;48.24;90.29
10;01;9;16;01;9;62.08;61.21;61.21;4702;232.29;7430;51.71;103.14
17;01;9;23;01;9;125.44;125.44;125.44;4252.43;399;7402.71;55.84;110.29
24;01;9;30;01;9;107.59;107.59;107.59;4495.71;264;7380.57;61.21;113.57
31;01;9;06;02;9;16.31;16.31;16.31;5285;38.71;7437.71;64.2;88.29
07;02;9;13;02;9;27.06;27.06;27.06;5875.29;39.57;7730.29;67.17;89.14
14;02;9;20;02;9;43.44;43.44;42.76;5061;66.14;7489;70.69;95.43
21;02;9;27;02;9;16.31;16.31;16.31;4699.86;177.43;6880;74.77;96
28;02;9;06;03;9;64.42;61.47;59.91;5377.43;42.29;7409.29;78.77;94.29
07;03;9;13;03;9;80.18;76.91;76.91;5658.57;134.57;7633;81.4;86.71
14;03;9;20;03;9;96.86;95.73;95.73;5487.43;98;7682.57;82.73;76.57
21;03;9;27;03;9;93.21;91.75;91.75;5530.43;32.71;7727.57;84.07;69.71
28;03;9;03;04;9;97.98;97.98;97.34;5021.43;264;7728.71;85.24;70.43
04;04;9;10;04;9;31.22;31.02;29.95;5062.43;41.29;7436.14;87.49;82.86
11;04;9;17;04;9;16.31;16.31;16.31;5474.86;231.43;7260.86;91.91;100
18;04;9;24;04;9;16.31;16.31;16.31;5767.57;37.43;7119.71;95.27;107.86
25;04;9;01;05;9;16.31;16.31;16.31;6031.14;123.71;7251.43;98.2;119.43
02;05;9;08;05;9;36.45;36.45;36.21;6622.71;44.43;7143.71;99.14;151.57
09;05;9;15;05;9;29.05;28.87;28.68;7112.29;40.14;7257.57;99.23;136
16;05;9;22;05;9;28.87;28.87;28.68;7193.29;36.29;7227.57;99.23;129.71
23;05;9;29;05;9;29.67;29.67;29.47;6875.43;35.86;7116;98.74;121.29
30;05;9;05;06;9;27.35;26.94;26.94;6432.29;58.57;7151.57;97.87;112.86
06;06;9;12;06;9;26.14;25.56;25.39;6007.57;65.29;7042.29;96.77;105.29
13;06;9;19;06;9;28.93;28.93;28.74;6178.14;277.57;7204;95.4;99
20;06;9;26;06;9;31.07;30.17;30.17;5981.29;884.14;6991.57;94.52;96.86
27;06;9;03;07;9;43.08;43.08;43.08;6715.57;319.71;7126.71;93.51;98.29
04;07;9;10;07;9;30.4;30.4;30.4;6301.86;534.29;7004.57;91.76;97.57
11;07;9;17;07;9;25.45;25.45;25.45;6365.14;714.14;7277;90.21;98
18;07;9;24;07;9;17.32;17.32;17.31;6443.29;239.71;7307.71;88.06;96.86
25;07;9;31;07;9;21.67;21.5;21.45;5930;495.43;7294.29;85.77;95.14
01;08;9;07;08;9;16.31;16.31;16.31;6012.57;386.14;7336.86;84.2;95.43
08;08;9;14;08;9;16.31;16.31;16.31;6099.57;350.29;7333.57;82.41;93
15;08;9;21;08;9;16.31;16.31;16.31;5990.14;253.71;7319.86;80.26;91.71
22;08;9;28;08;9;16.31;16.31;16.31;5738.29;163.14;7467.57;78.56;90.43
29;08;9;04;09;9;16.31;16.31;16.31;10381.86;209.14;13924.71;70.86;82.85
05;09;9;11;09;9;16.31;16.31;16.31;5414;480.43;7528.43;73.4;96.29
12;09;9;18;09;9;16.31;16.31;16.31;5443.86;535.86;7711.43;73.67;103.14
19;09;9;25;09;9;16.31;16.31;16.31;6132.29;404;7993.29;71.84;103.57
26;09;9;02;10;9;16.31;16.31;16.31;6381.57;522.14;7899.43;69.54;99
03;10;9;09;10;9;16.31;16.31;16.31;6589.29;223.57;8047.57;67.33;92
10;10;9;16;10;9;16.31;16.31;16.31;5991;623.43;7789.86;65.43;95.14
17;10;9;23;10;9;16.31;16.31;16.31;6663;273.71;8099.71;63.86;95
24;10;9;30;10;9;16.31;16.31;16.31;6378.86;30.57;7834.29;63.19;104.57
31;10;9;06;11;9;16.31;16.31;16.31;6222.43;305.86;7716.86;63.2;129.43
07;11;9;13;11;9;16.31;16.31;16.31;6979.57;141.29;7982.86;63.17;141.86
14;11;9;20;11;9;16.31;16.31;16.31;6930.29;111;7844.57;63.57;148.57
21;11;9;27;11;9;16.31;16.31;16.31;7170.86;41.57;7912.86;62.77;147
28;11;9;04;12;9;16.31;16.31;16.31;6920;161.86;8008.86;61.87;89.14
05;12;9;11;12;9;16.31;16.31;16.31;5923.86;403.29;8156;61.33;47
12;12;9;18;12;9;16.31;16.31;16.31;6428.43;83.86;7846.71;62.21;50.43
19;12;9;25;12;9;16.31;16.31;16.31;5928.14;80.29;7794.43;62.97;62
26;12;9;31;12;9;16.31;16.31;16.31;4621.57;66;6575.57;64.62;69.33
